"gene","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12"
"GENE1007",7.9205,6.2627,7.9757,6.8485,8.3803,8.8495,6.7275,8.1877,7.2677,7.7127,8.7206,8.0637
"GENE1008",5.656,5.9078,5.9087,6.2201,5.6243,5.2631,5.7205,5.7697,6.337,5.6822,5.3705,5.4797
"GENE1009",5.9577,4.7206,4.6324,4.4628,5.0345,3.8482,5.3925,2.3919,2.4494,1.0393,1.9615,2.8143
"GENE1010",6.5098,6.1823,6.4037,6.175,6.6517,6.6002,8.1591,6.2097,6.7397,5.173,4.8854,5.7766
"GENE1011",9.6529,7.8325,8.9577,7.2758,8.0317,7.3959,6.8873,5.5058,6.0259,4.9378,6.1107,5.0518
"GENE1012",7.5657,9.1214,9.4104,8.9364,8.2126,10.4111,8.9773,9.4956,9.4914,9.196,8.9383,9.9134
"GENE1013",3.8703,3.5207,3.7089,1.6099,2.0789,2.6978,3.6211,2.94,1.4883,3.8793,3.9525,2.6491
"GENE1014",4.3186,4.5321,7.3746,4.4028,4.8089,5.7758,4.5087,5.5496,5.1966,5.31,4.6769,5.3676
"GENE1015",6.5,5.7139,6.1003,7.0905,5.8234,6.5654,6.2509,5.5726,5.6189,6.4725,7.3937,5.6655
"GENE1016",6.3902,6.7197,6.817,6.4167,5.6691,6.4044,6.1705,6.3698,6.3586,7.324,5.7497,7.0179
"GENE1017",5.6741,5.1883,4.7078,4.0868,4.0746,4.23,5.338,4.1133,5.366,5.658,4.5412,6.3478
"GENE1018",1.2046,3.1611,0.6965,1.8875,1.3968,2.3231,1.379,2.3892,0.6132,3.7868,2.2019,1.9907
"GENE1019",4.8783,5.8632,5.6955,6.4352,5.5241,6.1235,4.9847,5.4045,6.2148,5.1061,6.0186,6.252
"GENE1020",4.5203,3.9252,2.4976,1.9118,5.2721,4.0552,2.9799,2.5247,3.6312,2.3053,2.8876,2.0099
"GENE1021",5.7598,5.999,6.0916,7.2634,6.7921,4.9415,5.6459,5.9002,7.3018,6.6099,4.7042,5.8232
"GENE1022",4.755,3.5011,3.5689,5.1543,3.8974,3.9018,4.8999,4.522,4.5722,4.4507,5.4845,5.578
"GENE1023",4.4396,7.2993,5.5735,5.4957,4.5082,6.1809,7.1553,7.1343,4.6245,6.7298,6.8457,5.8485
"GENE1024",3.6909,2.6364,5.5385,3.6367,5.4614,4.5717,5.0245,4.3822,4.965,4.71,5.1155,5.3121
"GENE1025",5.6356,6.4902,6.7795,5.6504,5.178,4.6034,4.6029,4.7407,4.5699,5.1399,5.5761,4.97
"GENE1026",5.2503,5.6833,5.1229,5.7727,5.373,5.2397,6.3101,7.4716,7.2097,7.227,6.8544,6.9326
"GENE1027",8.797,8.1396,8.5785,8.4254,8.5376,9.3722,6.2703,5.7829,6.6088,6.2536,6.4736,7.2357
"GENE1028",6.8573,9.3306,5.8957,7.4287,6.5531,7.705,7.3078,8.1313,7.1038,8.347,7.482,6.3087
"GENE1029",5.9949,5.5182,5.6901,5.6114,5.7455,5.7268,5.9374,5.823,5.5075,5.5475,5.9517,6.194
"GENE1030",1.4436,3.3243,3.3105,1.0953,3.4448,2.1449,3.7289,3.3186,5.4,4.2367,1.509,3.693
"GENE1031",7.0143,8.4399,8.2207,6.9921,9.0193,7.7239,6.6577,6.0883,7.1744,6.9687,6.36,5.9075
"GENE1032",3.7105,3.7626,2.0213,2.4428,2.5672,3.7642,1.7762,3.7478,4.2599,5.1771,4.3862,1.5219
"GENE1033",3.776,1.5191,3.5726,4.0988,4.0406,4.4364,3.5364,3.3436,2.704,3.5199,5.4341,2.3745
"GENE1034",5.1565,3.8412,5.0622,3.6029,3.3166,3.0959,3.3888,3.4911,2.3146,2.584,2.8207,1.8642
"GENE1035",3.3553,4.9997,4.2651,3.1862,4.6549,4.575,5.1773,3.9691,4.4731,2.7934,4.6577,3.803
"GENE1036",3.4452,4.5948,2.9423,5.1474,4.421,4.7307,3.5546,3.7159,4.6133,4.4352,4.6853,4.7044
"GENE1037",8.9636,8.3657,8.0152,9.2318,7.9233,9.6608,8.825,8.4726,8.314,7.9239,8.7641,9.3852
"GENE1038",5.6066,5.856,6.5889,6.7803,4.0477,5.3556,6.5385,7.1389,7.9673,7.643,7.9778,8.0459
"GENE1039",4.3335,4.9111,4.9586,3.895,4.7686,4.1347,3.6367,4.9331,5.7059,5.4023,5.1955,3.8314
"GENE1040",7.1139,7.5505,7.106,7.7013,6.2028,6.3355,7.886,7.7301,7.6199,7.1758,8.4262,6.6668
"GENE1041",5.4393,6.099,6.2705,6.3007,6.6091,7.0991,8.1603,8.9091,8.3701,8.6257,8.7358,9.3174
"GENE1042",3.8172,3.4043,2.9642,3.5832,3.4876,3.0065,3.7495,2.8693,3.5685,3.1162,4.0179,4.0471
"GENE1043",4.2048,6.4309,5.2142,4.9275,6.2546,6.0323,5.9935,6.5094,4.3348,5.6472,6.2259,5.2738
"GENE1044",7.5134,6.8673,6.562,8.2234,6.6478,7.2661,7.8357,8.1102,7.2577,7.6502,7.5908,6.5803
"GENE1045",10.7979,9.6514,10.6978,10.3534,9.5961,10.6963,11.3677,10.3072,9.2825,9.6895,9.4637,10.2133
"GENE1046",8.5255,9.2589,9.4805,9.7057,8.7095,9.2731,7.8263,8.3657,7.7067,7.8508,7.8788,8.4661
"GENE1047",7.151,8.0106,8.4487,8.312,8.1938,7.8997,7.1277,8.015,7.933,9.8125,6.5236,8.4229
"GENE1048",6.4367,6.5345,6.0009,7.0879,5.3364,5.6835,5.169,6.2538,6.1349,6.4472,5.5909,6.0655
"GENE1049",3.126,3.1897,3.2715,2.8426,2.5277,2.6086,2.9428,2.1248,2.6949,2.4034,3.687,1.8311
"GENE1050",5.783,4.3596,4.2358,2.4325,5.0697,2.0517,5.0272,5.009,3.6027,2.1721,4.9425,4.0301
"GENE1051",5.4365,6.1707,5.7025,5.8021,4.7398,5.125,5.6397,6.2389,5.2206,5.3425,6.433,5.7725
"GENE1052",6.7805,6.4787,7.337,7.5265,7.2473,7.2747,7.3162,7.3108,6.619,7.3887,7.1679,6.9767
"GENE1053",7.6691,6.3386,7.3727,6.4606,6.9411,6.1183,6.3162,4.3916,5.2339,6.2885,5.8326,5.3752
"GENE1054",5.4026,6.8467,6.2003,6.6728,6.5938,6.7907,6.1226,6.6058,5.7502,5.7479,6.0372,5.9248
"GENE1055",9.8118,10.7777,10.0437,8.2511,10.58,8.7356,9.3509,9.5858,9.4365,9.6213,10.0587,8.9349
"GENE1056",6.7858,7.4188,7.1319,7.4021,7.5525,7.046,7.0601,7.497,6.2155,7.2073,6.446,7.5026
"GENE1057",7.5652,7.3069,5.6617,6.819,6.5138,6.5078,4.7065,6.044,6.309,5.901,4.8517,8.1207
"GENE1058",5.1936,5.9606,5.3869,5.9093,5.556,4.9774,5.2461,5.2327,5.1709,5.7216,5.1574,5.8373
"GENE1059",5.6329,8.0868,5.8566,6.4225,5.358,6.3605,6.8414,7.5592,7.0606,7.1649,7.1435,7.5794
"GENE1060",4.3076,4.9141,4.6404,4.3077,4.6144,5.7986,3.9628,4.2967,4.1497,4.6635,4.6382,4.8773
"GENE1061",8.6583,9.2608,9.4999,9.6255,9.6647,10.4823,9.2451,9.2057,7.371,9.2737,7.7119,9.2608
"GENE1062",5.8916,4.3851,5.6447,4.7849,5.6921,3.9755,5.5374,6.6444,5.9434,5.7002,5.2983,5.1656
"GENE1063",5.1735,3.8782,5.3217,4.1831,5.7494,4.0925,5.4042,6.2505,4.5733,5.5447,3.7314,6.5213
"GENE1064",3.0215,4.6442,3.7532,4.9702,4.1814,3.6436,3.743,3.4523,3.7911,3.8163,3.0554,2.5474
"GENE1065",7.8285,7.3918,7.5375,7.6806,7.5107,7.8628,8.276,6.2413,8.2729,7.7435,7.7249,8.673
"GENE1066",4.1221,3.9552,2.3206,3.9567,3.3813,3.6491,1.9498,2.9798,3.9518,3.5655,2.4494,2.9551
"GENE1067",5.2246,5.8767,7.0881,4.5645,3.1738,4.7628,4.7215,5.5453,4.9738,7.2964,4.9998,6.3947
"GENE1068",6.5272,6.6352,6.486,6.5532,6.3985,6.1724,6.2616,6.503,6.8263,5.9924,6.336,6.701
"GENE1069",6.107,7.8577,5.1791,7.0073,5.7553,6.4367,5.8379,5.4285,6.2209,6.6292,5.4517,6.9208
"GENE1070",5.392,7.3956,5.9036,6.346,5.1633,7.7581,7.3999,7.4482,6.1321,6.3755,5.2673,6.27
"GENE1071",3.1521,3.8248,3.0207,2.7202,2.066,2.4189,2.6403,3.1514,2.9214,4.3671,3.9346,4.6016
"GENE1072",5.6199,5.5503,5.6571,5.1864,4.7642,5.4925,5.0441,5.3748,5.1298,5.4796,4.7493,5.8631
"GENE1073",3.0888,2.2035,2.6727,2.7834,2.2545,2.9224,2.1168,3.0694,2.579,2.311,2.4683,2.5766
"GENE1074",3.7799,4.6602,4.0718,3.9968,4.6563,4.4889,4.7068,5.2375,3.7242,3.7387,4.0638,4.8834
"GENE1075",9.6524,8.0848,9.4772,8.7805,8.403,10.7543,7.2781,9.8898,6.9144,10.1128,7.7343,9.1884
"GENE1076",5.7631,5.6856,6.3211,5.0802,4.879,7.0242,8.2059,6.3668,6.0444,6.3947,6.8314,6.527
"GENE1077",6.9767,5.9349,6.6978,6.0348,6.7423,7.04,6.0648,4.391,5.2506,6.7775,5.8917,6.6774
"GENE1078",3.0614,3.7188,4.4593,4.1096,4.1124,3.2378,4.3074,3.7349,4.0949,3.3296,4.1762,2.9588
"GENE1079",3.713,6.2462,4.5971,6.0123,4.3798,5.0724,5.2565,5.8663,4.7626,5.2169,5.1743,7.0313
"GENE1080",4.2258,4.8931,3.7154,3.7555,4.3747,5.1414,2.477,4.4145,3.7668,3.6514,3.99,3.485
"GENE1081",6.2039,7.5045,5.2645,5.2652,6.0685,4.4794,6.2674,4.8429,5.5276,4.7569,5.6977,6.0997
"GENE1082",7.5416,8.0909,8.6859,7.3091,8.3552,9.5119,7.0725,7.789,7.5578,7.593,7.8375,8.6281
"GENE1083",6.9432,7.3512,6.0183,6.8114,7.3854,7.1336,6.2892,7.1419,7.0146,6.866,6.3378,7.551
"GENE1084",5.0613,3.2734,5.2559,3.4505,5.2902,5.0075,4.858,4.7221,5.6977,4.0315,4.3716,5.0567
"GENE1085",6.5081,5.2601,7.5387,6.7389,6.0494,6.6574,7.179,5.8668,7.3622,6.4933,6.8084,5.6514
"GENE1086",7.3399,6.6465,6.8125,6.3898,6.2278,7.0803,7.3833,5.4718,6.4616,6.7824,7.1465,7.3089
"GENE1087",7.6506,6.0203,7.9561,6.188,7.8742,6.5869,7.6505,8.145,8.1556,7.0686,7.9417,7.4686
"GENE1088",4.691,5.5059,4.8327,5.8946,7.7436,2.9758,6.6965,4.8514,5.3017,5.4098,4.8907,5.2852
"GENE1089",3.8985,3.6121,3.6314,3.6511,3.2609,3.9935,3.9845,3.3318,3.6095,3.949,3.3963,2.9475
"GENE1090",5.5621,3.4054,6.3077,6.362,5.3091,5.5019,5.0863,5.7611,5.2246,6.5227,5.0057,6.7009
"GENE1091",7.7559,6.5539,6.2572,6.4469,6.7563,7.0973,4.9059,7.5463,4.9119,6.7629,6.8723,6.6493
"GENE1092",10.2407,11.2434,8.7844,9.6336,9.4162,10.1893,8.6298,9.7104,9.6258,8.3107,8.0289,8.3666
"GENE1093",6.1416,5.103,6.006,6.3163,6.4259,5.3042,6.1546,5.9727,6.0177,6.3082,6.2291,7.075
"GENE1094",6.3115,7.4281,6.6135,7.5979,6.8154,7.2097,7.6138,7.6816,6.7966,6.3218,6.4026,7.8802
"GENE1095",6.0788,6.7657,6.1793,5.842,5.0051,4.8679,6.8966,5.7282,4.7427,5.1129,7.1495,6.8853
"GENE1096",10.23,10.6487,9.7344,10.7147,10.6682,10.2053,10.4024,10.3592,10.6736,10.8866,10.3177,10.5568
"GENE1097",8.9236,9.4785,8.7125,9.4351,8.1848,9.3819,6.5512,7.9195,6.575,7.1487,7.0806,7.7289
"GENE1098",5.6199,5.6644,5.7078,5.0201,5.8041,6.0892,5.051,5.6504,5.7411,6.0964,5.4048,5.4926
"GENE1099",6.7742,6.064,5.697,4.8534,5.624,5.411,5.4467,4.6646,5.4805,4.9849,5.3069,4.1637
"GENE1100",4.8809,7.0498,4.3397,5.907,5.5318,8.9816,4.9024,6.9943,5.1625,7.0804,5.7879,7.2675
"GENE1101",5.9355,6.1563,5.5929,6.7444,6.2394,6.4662,6.48,6.4624,5.7959,6.3445,6.3094,6.0074
"GENE1102",5.7074,3.7741,5.0327,3.6276,4.8504,4.4538,3.9769,4.8987,5.6329,4.6223,5.1969,3.8263
"GENE1103",7.8273,5.5324,5.4918,6.4112,7.1885,6.4381,5.593,5.2851,6.7126,4.38,4.6482,5.981
"GENE1104",5.9445,5.278,4.3296,5.2254,3.9406,4.6859,4.4769,5.4236,4.207,5.1499,3.7914,5.3587
"GENE1105",3.8084,3.9477,4.565,3.2128,3.1844,4.154,2.8279,2.4625,3.6345,4.2844,4.4389,3.442
"GENE1106",7.7751,7.642,7.7045,8.3228,7.5109,7.7131,6.8143,8.4716,7.7463,8.3622,7.5551,8.0061
"GENE1107",7.3929,6.9442,7.8491,7.3442,7.3902,7.9398,7.3106,7.1867,7.3168,7.583,7.3886,7.0341
"GENE1108",4.5411,4.811,5.3186,5.0146,4.4011,3.5562,4.2069,5.079,4.3508,4.3814,4.8286,5.5707
"GENE1109",9.1534,9.129,10.08,8.7521,8.746,8.6655,8.8364,8.1402,8.2787,7.8087,7.8324,9.3071
"GENE1110",5.5723,6.0333,5.2206,6.1336,6.1755,5.6223,4.4351,6.6273,4.8607,6.3702,6.0651,7.2327
"GENE1111",5.922,5.2921,6.2761,4.5269,7.2524,6.7446,5.253,5.0906,4.4412,5.93,5.3049,5.9691
"GENE1112",4.1389,4.5307,4.1838,4.6202,4.2265,4.5925,4.3231,4.5896,4.5328,4.35,4.4349,5.0101
"GENE1113",6.3685,6.0761,6.1155,5.5265,6.7999,6.0375,5.9972,6.4196,5.3606,2.7922,5.7437,5.3897
"GENE1114",5.1867,5.1292,6.1112,4.9594,4.0201,5.5258,5.4303,6.6449,4.5645,6.6984,3.96,5.2876
"GENE1115",6.4868,5.8037,6.5917,5.3968,6.3432,5.7483,7.9563,7.1997,7.4738,7.8508,7.8989,7.389
"GENE1116",6.8081,7.5448,6.3906,6.2132,7.0135,5.252,8.1536,5.6047,6.4413,6.8104,7.4689,6.563
"GENE1117",8.2316,8.4946,8.5006,9.2455,7.8233,6.5999,8.3294,7.6196,6.5145,8.9115,8.3701,6.8988
"GENE1118",6.5086,6.5378,6.1007,6.646,7.299,4.9994,5.2128,6.1679,5.3404,7.2489,5.9224,7.9522
"GENE1119",6.8415,7.7309,8.5338,6.363,8.0135,7.0734,8.6112,7.719,8.0158,7.6203,8.1105,7.6706
"GENE1120",7.8657,7.8923,8.459,8.5907,10.5153,7.5429,8.1211,7.7116,6.5426,7.9486,9.5027,8.3124
"GENE1121",0.3135,1.1092,0.3948,1.1812,0.4956,1.2673,0.1489,-1.2453,-0.4583,0.9763,0.7838,0.7958
"GENE1122",5.0793,4.6311,4.9742,4.618,5.3003,5.3893,4.7647,4.7516,5.5927,4.602,5.2466,5.0546
"GENE1123",7.1803,8.0116,7.2486,7.0848,8.855,6.8564,7.0523,6.3092,8.8127,9.0024,8.0934,7.2549
"GENE1124",3.1869,3.6677,3.364,3.3115,3.556,4.3081,4.3522,4.0107,3.2764,3.5796,2.9077,4.1631
"GENE1125",3.8947,4.3379,3.8609,3.9336,3.9235,4.0998,3.9812,4.0757,4.1365,3.5392,4.3636,4.0877
"GENE1126",5.2113,6.8899,7.3185,6.5455,6.3194,6.579,3.9982,4.1903,3.9606,4.1334,4.7008,4.719
"GENE1127",4.3029,5.9892,4.7874,6.8465,5.3251,5.7848,6.927,7.0125,5.0753,4.8217,3.2615,6.1974
"GENE1128",2.7904,2.6333,1.8584,2.5891,3.5272,2.9344,0.7299,3.1046,2.2839,1.7685,2.4038,2.365
"GENE1129",8.0188,7.7725,7.5714,7.7435,7.3555,9.2514,7.4455,7.8136,7.8609,7.7884,7.4936,8.4002
"GENE1130",5.1202,4.2174,3.8073,5.3341,5.1197,3.4515,3.8563,4.487,6.7954,4.5177,5.3477,5.3737
"GENE1131",7.1855,7.0881,5.0899,6.8709,5.9973,6.4766,7.12,7.7269,4.8128,7.1232,6.5965,7.9236
"GENE1132",6.4679,6.4714,7.0509,7.0888,6.5558,7.1568,7.3792,7.5123,6.8842,7.2196,7.3872,6.4549
"GENE1133",8.7677,9.1477,8.4315,8.098,8.8274,8.1259,8.9078,7.8827,8.9511,7.7023,10.3362,9.0926
"GENE1134",5.5855,5.5285,5.9893,6.9409,6.2458,6.0082,6.8078,5.9093,7.1283,7.1604,5.9896,5.7208
"GENE1135",8.3908,6.723,7.8784,7.6537,7.7334,6.2509,8.1283,6.9327,6.7947,6.9533,7.4599,7.0497
"GENE1136",8.6486,7.7516,8.7474,7.8992,8.3862,8.4623,8.6913,8.6626,8.1948,8.403,8.4518,8.0939
"GENE1137",5.0684,5.9486,5.587,5.6338,5.4694,5.5328,4.9243,4.8936,3.8171,4.8575,4.4471,4.3696
"GENE1138",3.5371,1.6631,3.4264,0.718,2.3578,3.1651,2.8616,4.3572,3.6177,0.8141,2.0213,1.1963
"GENE1139",6.6002,4.439,6.3235,5.9343,6.3132,6.9169,6.1538,6.1539,6.071,6.165,5.537,5.5516
"GENE1140",7.9471,8.8844,8.664,9.3035,8.8002,8.0415,9.0347,8.1143,8.7475,8.5535,7.8456,8.6641
"GENE1141",3.6969,2.1923,2.8988,3.974,2.8727,3.8905,3.6971,2.6296,4.484,3.1099,3.5083,3.3759
"GENE1142",8.5037,8.3418,6.7894,7.5572,7.953,7.9775,7.1115,10.0695,7.6886,9.3666,7.5321,8.0074
"GENE1143",4.9691,6.7052,6.4188,6.9521,5.3197,5.7125,5.3992,6.2639,5.4687,7.1039,6.4423,6.5947
"GENE1144",6.4536,5.6185,5.6743,6.7124,6.3209,5.962,5.8597,6.7565,6.0675,5.9874,5.8985,5.55
"GENE1145",5.473,4.3436,5.394,6.0029,5.1957,5.8474,3.5877,4.6294,5.8971,6.1949,5.6808,5.2816
"GENE1146",6.2298,7.9633,7.1764,7.0594,8.3366,7.1148,8.9413,7.5458,8.5485,5.9387,8.0268,7.3037
"GENE1147",8.1006,7.5962,9.1848,8.4089,8.3725,8.6819,8.0959,8.1432,9.5031,8.6896,8.8662,8.2598
"GENE1148",9.857,8.7249,9.3084,9.13,8.4025,9.1823,9.3687,9.1825,8.7849,7.7225,10.1294,8.5607
"GENE1149",4.9316,5.0599,2.8299,5.13,4.5993,3.4412,4.8506,4.3946,5.9145,5.072,3.6308,2.7568
"GENE1150",7.954,6.6779,8.8478,7.8565,7.9653,8.2029,8.4753,9.7023,6.1905,7.881,8.944,8.3661
"GENE1151",5.5493,5.5365,7.4426,7.3771,4.6774,4.1372,6.0615,6.6042,4.0261,5.7488,5.157,7.6421
"GENE1152",3.1607,4.2606,3.9588,3.5908,4.3921,3.6534,4.5539,4.3413,3.7133,3.7889,4.2407,4.2789
"GENE1153",5.9733,8.2616,7.0501,8.4577,6.3782,6.9668,8.5441,6.673,6.5395,7.8789,8.0322,8.1738
"GENE1154",5.6457,6.6541,7.1738,5.9673,4.506,6.5945,6.8218,6.1228,5.5623,7.4473,7.3415,6.2763
"GENE1155",8.107,7.4204,8.0166,7.3984,7.4872,8.7576,7.7974,8.6324,6.5553,6.5699,7.7348,8.1208
"GENE1156",9.798,9.8013,9.1681,9.6628,9.8487,9.4497,9.534,9.7321,9.7324,9.1754,9.5655,9.6707
"GENE1157",7.7755,6.4446,7.3352,7.4266,8.1438,7.6246,7.5351,7.2849,9.5852,7.7156,7.5992,5.5846
"GENE1158",4.3409,4.9303,2.5815,5.2402,4.7588,5.2379,5.035,4.4981,4.1309,4.7933,3.7994,4.7477
"GENE1159",6.4119,5.9074,6.2645,6.4524,6.5219,6.3413,6.3278,6.5812,6.9869,6.5913,6.9866,5.9876
"GENE1160",8.9106,9.6197,9.6817,9.0103,9.0625,9.0789,8.2591,8.8087,8.5807,8.5991,9.391,8.6395
"GENE1161",7.2907,7.9048,9.3127,8.2624,8.5194,7.8974,8.0786,8.5257,7.9791,8.928,8.6583,7.4181
"GENE1162",3.6758,3.0701,2.6858,4.3356,2.4148,3.1872,4.1108,3.4316,2.9018,4.9947,2.836,3.2875
"GENE1163",7.3769,8.373,8.545,7.7787,7.8568,7.7014,8.4015,9.3898,7.3055,8.1634,7.9785,8.711
"GENE1164",5.6556,5.5561,4.7021,4.8272,4.7254,5.7546,5.8291,5.2974,4.6103,5.7332,4.8977,6.6752
"GENE1165",6.9808,6.0779,5.5757,4.5548,5.3811,4.3688,4.8956,4.3242,3.2934,2.5684,5.2944,3.3865
"GENE1166",4.2691,4.7039,3.4804,4.232,3.8441,3.0206,3.8193,3.5947,3.0865,3.3704,3.0366,3.3883
"GENE1167",5.0158,5.5248,4.6064,5.3302,6.26,5.3476,5.838,6.2548,3.9894,4.9142,5.7707,4.8949
"GENE1168",7.6367,7.587,7.2926,7.5993,7.3583,7.4309,7.7713,7.9334,7.542,8.254,7.6039,7.8202
"GENE1169",7.6877,9.0521,8.6937,8.8119,7.6139,8.1198,8.7141,8.945,8.3875,9.4611,8.1638,8.9901
"GENE1170",5.641,6.4503,6.3887,5.6878,7.5433,6.594,6.5672,5.0699,7.2142,6.9019,6.74,6.5523
"GENE1171",5.7183,4.7437,6.4112,4.7239,5.2271,5.2457,7.43,5.9853,4.8985,5.5084,4.4259,5.8625
"GENE1172",4.7609,4.8053,5.4041,4.8154,6.0736,5.1289,5.7214,6.1975,5.9064,5.8099,5.9415,6.2031
"GENE1173",6.3696,8.4358,9.5507,7.9779,7.8441,6.6828,7.517,7.5167,8.5155,8.6437,8.5694,7.4957
"GENE1174",4.3417,4.6663,3.2567,2.6386,3.6704,2.3597,4.0612,4.2386,3.5318,4.1149,4.3505,4.0326
"GENE1175",7.0039,8.6405,7.0619,6.1094,5.4208,8.4048,6.5626,6.3334,6.0661,8.674,6.6339,6.8579
"GENE1176",8.429,7.4489,7.8332,7.0219,8.7927,8.8569,6.9024,8.3145,7.7674,8.5223,8.4698,8.528
"GENE1177",8.0338,7.8853,7.786,7.7539,8.1562,8.5838,8.1626,8.1498,8.411,7.5353,8.6488,8.555
"GENE1178",8.827,6.5209,6.9881,7.4407,6.8014,6.9332,7.5187,6.0686,6.2166,6.5732,6.5138,6.9134
"GENE1179",3.3664,3.0733,3.5616,4.2096,3.5425,4.1527,3.8306,3.5991,3.1845,2.5564,3.7838,2.6313
"GENE1180",4.6262,3.4122,2.3033,4.6695,5.5344,4.7726,3.3147,2.5518,4.7421,1.6956,3.4673,3.1994
"GENE1181",4.3644,4.3293,4.4705,3.7271,5.61,4.2911,3.8387,4.0525,4.4999,3.9158,5.4221,4.9459
"GENE1182",3.4545,3.7457,3.1448,2.5991,3.0867,3.7191,2.1921,3.3642,4.351,2.6858,3.5553,3.0487
"GENE1183",5.5815,6.6997,5.5079,5.851,5.1922,6.6997,6.4498,6.8688,6.0919,7.0473,5.2915,6.7128
"GENE1184",8.5373,8.5856,8.487,9.2559,7.8788,8.7131,10.0049,11.0378,10.8404,10.7929,10.8888,11.2862
"GENE1185",2.1737,1.8271,0.4748,1.6658,0.701,0.8489,-1.1122,-2.0862,-0.6515,-1.7423,-0.9899,-0.1313
"GENE1186",8.8891,8.7079,8.4017,8.0323,8.6095,7.9007,8.2193,6.67,7.3052,8.8397,10.9138,9.1736
"GENE1187",4.2267,4.0294,5.7516,6.5851,4.7686,6.4602,5.3343,6.2813,5.2758,6.2563,5.8593,4.23
"GENE1188",4.9141,4.6886,2.6662,5.8471,4.6787,4.0473,4.4793,4.1655,3.4932,6.116,3.9989,3.919
"GENE1189",7.472,6.4402,7.7024,6.9232,7.1891,7.0614,8.3747,8.536,8.8099,7.395,8.7587,7.6759
"GENE1190",8.1129,8.4302,7.4482,7.2639,7.663,7.6242,7.8866,7.3246,7.1812,7.5814,7.0563,5.0252
"GENE1191",5.63,6.2547,6.0337,5.8879,6.1439,6.3966,6.1928,7.0751,6.4471,6.2061,6.0135,6.802
"GENE1192",1.7589,2.9298,2.7258,4.6571,5.4107,3.577,3.4018,4.2177,5.4168,4.1776,4.3265,5.1723
"GENE1193",4.5461,5.0725,4.8083,4.7556,4.2979,6.1473,4.8481,5.2249,3.8902,5.4964,3.2558,5.5739
"GENE1194",3.0685,2.8063,2.1615,3.1792,3.7031,2.0878,3.0132,3.0072,3.3745,2.6673,2.7228,2.8067
"GENE1195",9.4048,9.4323,9.7805,8.8645,9.8693,8.8007,8.8129,8.0922,8.5616,8.3141,8.8197,8.0075
"GENE1196",4.6838,4.1995,6.3467,5.8668,6.0884,4.5884,5.8864,4.3001,5.7973,4.1057,6.1928,5.6037
"GENE1197",4.3613,5.2436,4.5221,5.0809,4.7907,5.8374,3.4697,5.4206,5.1466,6.1772,5.1129,4.3589
"GENE1198",1.147,1.0025,1.6111,0.3045,0.7862,0.6217,0.9964,0.6809,1.8316,1.244,1.1298,0.7755
"GENE1199",4.9881,4.9438,5.5444,5.1897,5.4448,5.102,5.451,4.2909,5.0735,4.4102,5.6893,4.7309
"GENE1200",4.7386,5.9091,4.7206,6.0506,5.0387,4.2727,5.6596,5.439,6.9777,6.8959,5.684,6.3302
"GENE1201",3.2807,3.7222,3.5612,2.8318,3.0481,2.6182,3.2385,3.3272,3.442,2.9942,3.59,3.2238
"GENE1202",10.0376,9.3821,11.6334,10.5958,9.8855,9.2318,13.7549,13.3024,12.6472,13.4913,13.6252,13.4744
"GENE1203",8.8061,7.6911,9.8134,7.7536,8.1774,6.7719,6.7579,8.7116,7.445,8.5106,7.3861,8.5116
"GENE1204",2.7009,2.3573,2.2183,3.1804,2.0996,3.2286,4.435,4.1628,5.5306,5.1962,4.823,4.527
"GENE1205",7.5177,8.9118,6.871,8.1425,8.6238,8.3491,7.3274,9.7032,7.0093,8.7254,7.5869,8.184
"GENE1206",7.4621,7.9964,8.5002,7.6558,7.9842,8.1208,8.3708,7.8344,8.0477,8.5051,8.8324,7.0704
"GENE1207",6.7327,7.7699,7.1847,7.7161,7.0514,7.9208,6.5787,9.1163,7.2387,8.4278,8.7081,8.3064
"GENE1208",6.8192,6.3021,7.0633,6.4296,7.0726,6.8333,6.7644,6.8493,6.7278,6.3731,6.8414,6.5314
"GENE1209",6.8044,5.9802,5.6449,5.5035,7.8936,7.9549,8.3503,8.7856,8.2971,8.6297,7.3768,8.9632
"GENE1210",7.5037,7.9583,7.2938,7.4464,7.0623,7.131,6.9362,6.5054,6.6547,7.103,7.2302,7.3858
"GENE1211",4.8497,3.97,4.8117,5.5767,4.6772,4.4356,5.9588,3.8169,3.2757,3.7892,3.9127,4.1024
"GENE1212",5.4762,6.6751,5.02,7.1991,3.7515,5.4814,6.2329,5.3549,6.4752,3.7004,5.0397,4.557
"GENE1213",4.835,3.6718,3.6936,3.819,3.732,4.2573,1.7899,1.6399,0.0738,3.011,1.3426,4.1657
"GENE1214",5.3738,6.618,6.2536,5.1758,5.0768,5.4105,5.537,5.2007,6.729,5.1416,4.9717,6.2501
"GENE1215",6.1307,5.2791,6.4293,6.2208,7.559,5.749,6.7813,5.8672,6.7997,6.3754,6.8928,6.1068
"GENE1216",7.1021,7.735,6.3211,7.9508,6.4118,7.6885,7.4737,7.7674,7.705,7.3382,7.1428,8.0141
"GENE1217",7.6417,7.2404,7.8453,7.1827,6.7823,6.4435,6.0243,8.5895,6.8058,7.0004,7.0033,7.8266
"GENE1218",8.5096,9.3131,8.4658,8.7201,7.7008,8.957,9.5487,8.9701,9.1356,8.7991,9.1178,7.2836
